dummy,笨蛋
tench,鲩鱼
goldfish,金鱼
great white shark,大白鲨
tiger shark,虎鲨
hammerhead,锤头鲨
electric ray,电鳐；电魟；电鳐目
stingray,黄貂鱼
cock,公鸡
hen,母鸡
ostrich,鸵鸟
brambling,吵闹
goldfinch,金翅雀
house finch,家朱雀
junco,雪鵐
indigo bunting,靛蓝彩旗
robin,欧亚鸲
bulbul,延髓
jay,松鸦
magpie,鹊
chickadee,山雀
water ouzel,水乌泽尔
kite,鸢
bald eagle,秃鹰
vulture,兀鹫
great grey owl,乌林鸮
European fire salamander,欧洲火蜥蜴
common newt,普通蝾螈
eft,〈美〉蝾螈；水蜥
spotted salamander,斑点蝾螈
axolotl,轴突
bullfrog,牛蛙
tree frog,树蛙
tailed frog,尾蛙
loggerhead,红海龟
leatherback turtle,棱皮龟
mud turtle,泥鳅
terrapin,水龟
box turtle,箱龟
banded gecko,条纹壁虎
common iguana,普通鬣蜥
American chameleon,美洲变色龙
whiptail,长尾鳕
agama,鬣蜥
frilled lizard,皱褶蜥蜴
alligator lizard,短吻鳄蜥蜴
Gila monster,大毒蜥
green lizard,绿蜥蜴
African chameleon,非洲变色龙
Komodo dragon,科莫多龙
African crocodile,非洲鳄鱼
American alligator,美洲短吻鳄
triceratops,三角龙
thunder snake,雷蛇
ringneck snake,环颈蛇
hognose snake,猪鼻蛇
green snake,青蛇
king snake,蛇王
garter snake,吊袜带蛇
water snake,水蛇
vine snake,藤蛇
night snake,夜蛇
boa constrictor,蟒蛇
rock python,岩蟒
Indian cobra,印度眼镜蛇
green mamba,曼巴蛇
sea snake,海蛇
horned viper,角毒蛇
diamondback,响尾蛇
sidewinder,响尾蛇
trilobite,三叶虫
harvestman,收割者
scorpion,蝎子
black and gold garden spider,黑金色花园蜘蛛
barn spider,谷仓蜘蛛
garden spider,花园蜘蛛
black widow,黑寡妇
tarantula,狼蛛
wolf spider,狼蛛
tick,打上钩
centipede,蜈蚣
black grouse,黑松鸡
ptarmigan,雷鸟
ruffed grouse,皱褶松鸡
prairie chicken,草原鸡
peacock,雄孔雀
quail,鹌鹑
partridge,山鹑
African grey,非洲灰鹦鹉
macaw,金刚鹦鹉
sulphur-crested cockatoo,葵花鹦鹉
lorikeet,长尾吸蜜鹦鹉(主要见于新几内亚)
coucal,鸦鹃
bee eater,峰虎
hornbill,犀鸟
hummingbird,蜂鸟
jacamar,贾卡马尔
toucan,巨嘴鸟
drake,公鸭
red-breasted merganser,红胸秋沙鸭
goose,鹅
black swan,黑天鹅
tusker,图斯克
echidna,针鼹
platypus,鸭嘴兽
wallaby,小袋鼠
koala,树袋熊
wombat,毛鼻袋熊
jellyfish,水母
sea anemone,海葵
brain coral,脑珊瑚
flatworm,扁形虫
nematode,线虫
conch,海螺
snail,蜗牛
slug,缓步虫；蛞蝓
sea slug,海蛞蝓
chiton,石鳖
chambered nautilus,珍珠鹦鹉螺
Dungeness crab,金尼斯大海蟹；珍宝蟹；螃蟹
rock crab,岩蟹
fiddler crab,招潮蟹
king crab,帝王蟹
American lobster,美洲龙虾
spiny lobster,多刺龙虾
crayfish,小龙虾
hermit crab,寄居蟹
isopod,等足目动物
white stork,白鹳
black stork,黑鹳
spoonbill,琵鹭
flamingo,火烈鸟
little blue heron,小蓝鹭
American egret,美洲白鹭
bittern,麻鳽（沼泽鸟，鸣声响亮）
crane,鹤
limpkin,秧鸡
European gallinule,欧洲水鸡
American coot,美洲白冠鸡
bustard,鸨
ruddy turnstone,红翻石鹬
red-backed sandpiper,红背鹬
redshank,赤足鹬
dowitcher,长嘴半蹼鹬
oystercatcher,蛎鹬（捕食贝类的滨鸟）
pelican,鹈鹕
king penguin,王企鹅
albatross,信天翁
grey whale,灰鲸
killer whale,虎鲸
dugong,海牛（主要生活于印度洋的大型银灰色厚皮海洋动物）
sea lion,海狮
Chihuahua,吉娃娃
Japanese spaniel,日本猎犬
Maltese dog,马耳他犬
Pekinese,北京犬 
Shih-Tzu,西施犬
Blenheim spaniel,布伦海姆猎犬
papillon,蝴蝶犬
toy terrier,玩具梗犬
Rhodesian ridgeback,罗得西亚脊背
Afghan hound,阿富汗猎犬
basset,巴色特猎犬
beagle,小猎犬
bloodhound,猎犬
bluetick,蓝色快狗；蓝斑犬
black-and-tan coonhound,黑褐色浣熊猎犬
Walker hound,步行猎犬
English foxhound,英国猎狐犬
redbone,瑞德朋猎浣熊犬
borzoi,俄罗斯灵𤟥
Irish wolfhound,爱尔兰狼犬
Italian greyhound,意大利灵缇
whippet,小灵狗（类似灵𤟥，常用于赛狗）
Ibizan hound,伊比赞猎犬
Norwegian elkhound,挪威猎麇犬；挪威猎鹿犬；挪威爱克猎犬
otterhound,奥达猎犬；水濑猎犬；猎獭犬
Saluki,东非猎犬；萨路基猎犬；萨卢基狗
Scottish deerhound,苏格兰猎鹿犬
Weimaraner,魏马拉纳
Staffordshire bullterrier,斯塔福德郡斗牛犬
American Staffordshire terrier,美国斯塔福德郡梗
Bedlington terrier,贝灵顿梗
Border terrier,边境梗
Kerry blue terrier,克里蓝梗
Irish terrier,爱尔兰梗
Norfolk terrier,诺福克梗
Norwich terrier,诺维奇梗
Yorkshire terrier,约克郡梗
wire-haired fox terrier,线毛狐梗
Lakeland terrier,湖滨梗
Sealyham terrier,海豹梗
Airedale,硬毛杂种猎犬
cairn,凯安梗
Australian terrier,澳大利亚梗
Dandie Dinmont,矮鬃犬
Boston bull,波士顿公牛犬
miniature schnauzer,迷你雪纳瑞
giant schnauzer,巨型雪纳瑞
standard schnauzer,标准雪纳瑞
Scotch terrier,苏格兰梗
Tibetan terrier,西藏梗
silky terrier,丝毛梗
soft-coated wheaten terrier,软裹面皮梗
West Highland white terrier,西高地白梗
Lhasa,拉萨犬(拉萨狮子犬、西藏狮子犬)
flat-coated retriever,扁平涂层寻回犬
curly-coated retriever,卷毛寻回犬
golden retriever,金毛寻回犬
Labrador retriever,拉布拉多猎犬
Chesapeake Bay retriever,切萨皮克湾寻回犬
German short-haired pointer,德国短毛指针
vizsla,维兹拉犬；维希拉猎犬；维兹拉猎犬
English setter,塞特狗,英国谍犬
Irish setter,爱尔兰雪达犬；爱尔兰塞特犬；爱尔兰长毛猎犬
Gordon setter,哥顿塞特犬；戈登雪达犬；哥顿雪达
Brittany spaniel,不列塔尼猎犬；布烈塔尼猎犬；布列塔尼猎犬
clumber,克伦伯猎鹬犬
English springer,英国史宾格跳犬；英国查理士小猎犬；英国可卡
Welsh springer spaniel,威尔斯激飞猎犬；威尔士跳猎犬；威尔士激飞猎犬
cocker spaniel,可卡犬
